,year,category,variable,units,magnitude,source,data_value,flag
617,2015,Shipping,Mean earnings,Dollars,Thousands,LEED,252600.0,R
618,2016,Shipping,Mean earnings,Dollars,Thousands,LEED,265520.0,R
619,2017,Shipping,Mean earnings,Dollars,Thousands,LEED,259010.0,R
620,2018,Shipping,Mean earnings,Dollars,Thousands,LEED,264960.0,R
621,2019,Shipping,Mean earnings,Dollars,Thousands,LEED,277030.0,R
622,2020,Shipping,Mean earnings,Dollars,Thousands,LEED,287920.0,P
623,2021,Shipping,Mean earnings,Dollars,Thousands,LEED,283900.0,P
624,2007,Shipping,Wage and salary earners,Number,Actual,LEED,18111.0,R
625,2008,Shipping,Wage and salary earners,Number,Actual,LEED,18756.0,F
626,2009,Shipping,Wage and salary earners,Number,Actual,LEED,18288.0,F
627,2010,Shipping,Wage and salary earners,Number,Actual,LEED,16524.0,R
628,2011,Shipping,Wage and salary earners,Number,Actual,LEED,16812.0,F
629,2012,Shipping,Wage and salary earners,Number,Actual,LEED,16590.0,F
630,2013,Shipping,Wage and salary earners,Number,Actual,LEED,16128.0,R
631,2014,Shipping,Wage and salary earners,Number,Actual,LEED,16794.0,R
632,2015,Shipping,Wage and salary earners,Number,Actual,LEED,17031.0,R
633,2016,Shipping,Wage and salary earners,Number,Actual,LEED,17181.0,R
634,2017,Shipping,Wage and salary earners,Number,Actual,LEED,18177.0,R
635,2018,Shipping,Wage and salary earners,Number,Actual,LEED,18525.0,R
636,2019,Shipping,Wage and salary earners,Number,Actual,LEED,19269.0,R
637,2020,Shipping,Wage and salary earners,Number,Actual,LEED,19290.0,P
638,2021,Shipping,Wage and salary earners,Number,Actual,LEED,20553.0,P
639,2007,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.7,F
640,2008,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.2,F
641,2009,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.2,F
642,2010,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.3,F
643,2011,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.3,F
644,2012,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.1,F
645,2013,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.0,F
646,2014,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.8,F
647,2015,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.7,F
648,2016,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.5,F
649,2017,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.4,F
650,2018,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.5,F
651,2019,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.4,F
652,2020,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.4,P
653,2021,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.2,P
654,2007,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,2921561.0,F
655,2008,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4187783.0,F
656,2009,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4256769.0,F
657,2010,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4480573.0,F
658,2011,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4611116.0,F
659,2012,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4412374.0,F
660,2013,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4312723.0,F
661,2014,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4095929.0,F
662,2015,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4238729.0,F
663,2016,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,3923816.0,F
664,2017,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,3885987.0,F
665,2018,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4222595.0,F
666,2019,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4373290.0,F
667,2020,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4568459.0,P
668,2021,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,3914217.0,P
669,2007,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1480564.0,F
670,2008,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1540028.0,F
671,2009,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1637211.0,F
672,2010,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1615712.0,F
673,2011,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1687395.0,F
674,2012,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1744269.0,F
675,2013,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1739228.0,F
676,2014,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1730652.0,F
677,2015,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1956018.0,R
678,2016,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1999658.0,R
679,2017,Total marine economy,Gross earnings,Dollars,Thousands,LEED,2027065.0,R
680,2018,Total marine economy,Gross earnings,Dollars,Thousands,LEED,2127784.0,R
681,2019,Total marine economy,Gross earnings,Dollars,Thousands,LEED,2242141.0,R
682,2020,Total marine economy,Gross earnings,Dollars,Thousands,LEED,2321779.0,P
683,2021,Total marine economy,Gross earnings,Dollars,Thousands,LEED,2321600.0,P
684,2007,Total marine economy,Mean earnings,Dollars,Thousands,LEED,548840.0,R
685,2008,Total marine economy,Mean earnings,Dollars,Thousands,LEED,574150.0,R
686,2009,Total marine economy,Mean earnings,Dollars,Thousands,LEED,635110.0,R
687,2010,Total marine economy,Mean earnings,Dollars,Thousands,LEED,680010.0,R
688,2011,Total marine economy,Mean earnings,Dollars,Thousands,LEED,712630.0,R
689,2012,Total marine economy,Mean earnings,Dollars,Thousands,LEED,724090.0,R
690,2013,Total marine economy,Mean earnings,Dollars,Thousands,LEED,747470.0,R
691,2014,Total marine economy,Mean earnings,Dollars,Thousands,LEED,732930.0,R
692,2015,Total marine economy,Mean earnings,Dollars,Thousands,LEED,781160.0,R
693,2016,Total marine economy,Mean earnings,Dollars,Thousands,LEED,788420.0,R
694,2017,Total marine economy,Mean earnings,Dollars,Thousands,LEED,774370.0,R
695,2018,Total marine economy,Mean earnings,Dollars,Thousands,LEED,797140.0,R
696,2019,Total marine economy,Mean earnings,Dollars,Thousands,LEED,838620.0,R
697,2020,Total marine economy,Mean earnings,Dollars,Thousands,LEED,853300.0,P
698,2021,Total marine economy,Mean earnings,Dollars,Thousands,LEED,863840.0,P
699,2007,Total marine economy,Wage and salary earners,Number,Actual,LEED,37353.0,R
700,2008,Total marine economy,Wage and salary earners,Number,Actual,LEED,37236.0,R
701,2009,Total marine economy,Wage and salary earners,Number,Actual,LEED,36576.0,R
702,2010,Total marine economy,Wage and salary earners,Number,Actual,LEED,33819.0,R
703,2011,Total marine economy,Wage and salary earners,Number,Actual,LEED,33654.0,R
704,2012,Total marine economy,Wage and salary earners,Number,Actual,LEED,33894.0,R
705,2013,Total marine economy,Wage and salary earners,Number,Actual,LEED,33018.0,F
706,2014,Total marine economy,Wage and salary earners,Number,Actual,LEED,35070.0,R
707,2015,Total marine economy,Wage and salary earners,Number,Actual,LEED,35121.0,R
708,2016,Total marine economy,Wage and salary earners,Number,Actual,LEED,35751.0,R
709,2017,Total marine economy,Wage and salary earners,Number,Actual,LEED,38082.0,R
710,2018,Total marine economy,Wage and salary earners,Number,Actual,LEED,38880.0,R
711,2019,Total marine economy,Wage and salary earners,Number,Actual,LEED,39867.0,R
712,2020,Total marine economy,Wage and salary earners,Number,Actual,LEED,40593.0,P
713,2021,Total marine economy,Wage and salary earners,Number,Actual,LEED,39474.0,P
